NAME,TICKER,COUNTRY,ICB,INDUS,SUP SEC,SEC,SUB SEC
CARBO Ceramics Inc.,CRR,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Health Management Associates Inc. Cl A,HMA,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Portland General Electric Co.,POR,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Hanover Insurance Group Inc.,THG,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
EMCOR Group Inc.,EME,United States,2357,Industrials,Construction & Materials,Construction & Materials,Heavy Construction
Domino's Pizza Inc.,DPZ,United States,5757,Consumer Services,Travel & Leisure,Travel & Leisure,Restaurants & Bars
GNC Holdings Inc. Cl A,GNC,United States,5337,Consumer Services,Retail,Food & Drug Retailers,Food Retailers & Wholesalers
Watsco Inc.,WSO,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Wolverine World Wide Inc.,WWW,United States,3765,Consumer Goods,Personal & Household Goods,Personal Goods,Footwear
Alexander & Baldwin Inc.,ALEX,United States,2773,Industrials,Industrial Goods & Services,Industrial Transportation,Marine Transportation
Colonial Properties Trust,CLP,United States,8674,Financials,Real Estate,Real Estate Investment Trusts,Diversified Real Estate Investment Trusts
Harsco Corp.,HSC,United States,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
StanCorp Financial Group Inc.,SFG,United States,8575,Financials,Insurance,Life Insurance,Life Insurance
UIL Holdings Corp.,UIL,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Vishay Intertechnology Inc.,VSH,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
A.O. Smith Corp.,AOS,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
CapitalSource Inc.,CSE,United States,8355,Financials,Banks,Banks,Banks
Pier 1 Imports Inc.,PIR,United States,5375,Consumer Services,Retail,General Retailers,Home Improvement Retailers
Ruddick Corp.,RDK,United States,,,,,,,,
Two Harbors Investment Corp.,TWO,United States,8676,Financials,Real Estate,Real Estate Investment Trusts,Mortgage Real Estate Investment Trusts
Air Lease Corp.,AL,United States,2777,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services
AOL Inc.,AOL,United States,9535,Technology,Technology,Software & Computer Services,Internet
Cabela's Inc.,CAB,United States,5379,Consumer Services,Retail,General Retailers,Specialty Retailers
Curtiss-Wright Corp.,CW,United States,2717,Industrials,Industrial Goods & Services,Aerospace & Defense,Defense
Haemonetics Corp.,HAE,United States,4537,Health Care,Health Care,Health Care Equipment & Services,Medical Supplies
Mueller Industries Inc.,MLI,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Plantronics Inc.,PLT,United States,9578,Technology,Technology,Technology Hardware & Equipment,Telecommunications Equipment
Corporate Office Properties Trust,OFC,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Michael Kors Holdings Ltd.,KORS,Hong Kong,3763,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories
Just Energy Group Inc.,JE,Canada,,,,,,,,
Diamondrock Hospitality Co.,DRH,United States,8677,Financials,Real Estate,Real Estate Investment Trusts,Hotel & Lodging Real Estate Investment Trusts
NewMarket Corp.,NEU,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
MI Developments Inc.,MIM,Canada,,,,,,,,
Stone Energy Corp.,SGY,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Steris Corp.,STE,United States,4535,Health Care,Health Care,Health Care Equipment & Services,Medical Equipment
FTI Consulting Inc.,FCN,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
MBIA Inc.,MBI,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Stillwater Mining Co.,SWC,United States,1779,Basic Materials,Basic Resources,Mining,Platinum & Precious Metals
EnerSys Inc.,ENS,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
Genpact Ltd.,G,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
Express Inc.,EXPR,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Fibria Celulose S.A.,FBR,Brazil,1737,Basic Materials,Basic Resources,Forestry & Paper,Paper
CorpBanca S.A.,BCA,Chile,8355,Financials,Banks,Banks,Banks
CNO Financial Group Inc.,CNO,United States,8575,Financials,Insurance,Life Insurance,Life Insurance
Bristow Group Inc.,BRS,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Hyatt Hotels Corp.,H,United States,5753,Consumer Services,Travel & Leisure,Travel & Leisure,Hotels
GrafTech International Ltd.,GTI,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
F.N.B. Corp.,FNB,United States,8355,Financials,Banks,Banks,Banks
TCF Financial Corp.,TCB,United States,8355,Financials,Banks,Banks,Banks
Huntington Ingalls Industries Inc.,HII,United States,2717,Industrials,Industrial Goods & Services,Aerospace & Defense,Defense
Webster Financial Corp.,WBS,United States,8355,Financials,Banks,Banks,Banks
Janus Capital Group Inc.,JNS,United States,8771,Financials,Financial Services,Financial Services,Asset Managers
AboveNet Inc.,ABVT,United States,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Molycorp Inc.,MCP,United States,1775,Basic Materials,Basic Resources,Mining,General Mining
LinkedIn Corp. Cl A,LNKD,United States,2793,Industrials,Industrial Goods & Services,Support Services,Business Training & Employment Agencies
Healthcare Realty Trust Inc.,HR,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
South Jersey Industries Inc.,SJI,United States,7573,Utilities,Utilities,Gas, Water & Multiutilities,Gas Distribution
First American Financial Corp.,FAF,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Brady Corp. Cl A,BRC,United States,2737,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment
Con-way Inc.,CNW,United States,2779,Industrials,Industrial Goods & Services,Industrial Transportation,Trucking
Endurance Specialty Holdings Ltd.,ENH,United States,8538,Financials,Insurance,Nonlife Insurance,Reinsurance
CommonWealth REIT,CWH,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
International Rectifier Corp.,IRF,United States,9576,Technology,Technology,Technology Hardware & Equipment,Semiconductors
Polypore International Inc.,PPO,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
CACI International Inc. Cl A,CACI,United States,9533,Technology,Technology,Software & Computer Services,Computer Services
Commercial Metals Co.,CMC,United States,1757,Basic Materials,Basic Resources,Industrial Metals & Mining,Iron & Steel
Genesco Inc.,GCO,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Live Nation Entertainment Inc.,LYV,United States,5755,Consumer Services,Travel & Leisure,Travel & Leisure,Recreational Services
Rollins Inc.,ROL,United States,5377,Consumer Services,Retail,General Retailers,Specialized Consumer Services
Colfax Corp.,CFX,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Applied Industrial Technologies Inc.,AIT,United States,2797,Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers
Fair Isaac Corp.,FICO,United States,9537,Technology,Technology,Software & Computer Services,Software
General Cable Corp.,BGC,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
McMoRan Exploration Co.,MMR,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Telecom Argentina S.A.,TEO,Argentina,6575,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications
Compania Cervecerias Unidas S.A.,CCU,Chile,3533,Consumer Goods,Food & Beverage,Beverages,Brewers
Vail Resorts Inc.,MTN,United States,5753,Consumer Services,Travel & Leisure,Travel & Leisure,Hotels
Ocwen Financial Corp.,OCN,United States,8779,Financials,Financial Services,Financial Services,Mortgage Finance
Olin Corp.,OLN,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
Thor Industries Inc.,THO,United States,3745,Consumer Goods,Personal & Household Goods,Leisure Goods,Recreational Products
Forest Oil Corp.,FST,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
H.B. Fuller Co.,FUL,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Hecla Mining Co.,HL,United States,1779,Basic Materials,Basic Resources,Mining,Platinum & Precious Metals
Youku Inc.,YOKU,China,5553,Consumer Services,Media,Media,Broadcasting & Entertainment
Kosmos Energy Ltd.,KOS,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Targa Resources Corp.,TRGP,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
St. Joe Co.,JOE,United States,8633,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development
Synovus Financial Corp.,SNV,United States,8355,Financials,Banks,Banks,Banks
Avista Corp.,AVA,United States,7575,Utilities,Utilities,Gas, Water & Multiutilities,Multiutilities
Brandywine Realty Trust,BDN,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Brown-Forman Corp. Cl A,BF/A,United States,3535,Consumer Goods,Food & Beverage,Beverages,Distillers & Vintners
CoreLogic Inc.,CLGX,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
Gulfmark Offshore Inc. (Cl A),GLF,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Maximus Inc.,MMS,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
NetSuite Inc.,N,United States,9537,Technology,Technology,Software & Computer Services,Software
Hillenbrand Inc.,HI,United States,5377,Consumer Services,Retail,General Retailers,Specialized Consumer Services
CYS Investments Inc.,CYS,United States,8676,Financials,Real Estate,Real Estate Investment Trusts,Mortgage Real Estate Investment Trusts
Sappi Ltd.,SPP,South Africa,1737,Basic Materials,Basic Resources,Forestry & Paper,Paper
Eagle Materials Inc.,EXP,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Corporate Executive Board Co.,EXBD,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
Imax Corp.,IMAX,Canada,5755,Consumer Services,Travel & Leisure,Travel & Leisure,Recreational Services
PNM Resources Inc.,PNM,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
RSC Holdings Inc.,RRR,United States,,,,,,,,
West Pharmaceutical Services Inc.,WST,United States,4537,Health Care,Health Care,Health Care Equipment & Services,Medical Supplies
Aeropostale Inc.,ARO,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
DSW Inc. Cl A,DSW,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Supervalu Inc.,SVU,United States,5337,Consumer Services,Retail,Food & Drug Retailers,Food Retailers & Wholesalers
Dupont Fabros Technology Inc.,DFT,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
DCT Industrial Trust Inc.,DCT,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Howard Hughes Corp.,HHC,United States,8633,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development
Chemtura Corp.,CHMT,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
Convergys Corp.,CVG,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
El Paso Electric Co.,EE,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Cash America International Inc.,CSH,United States,8773,Financials,Financial Services,Financial Services,Consumer Finance
Swift Energy Co.,SFY,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Stantec Inc.,STN,Canada,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
UniSource Energy Corp.,UNS,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Grupo Aeroportuario del Sureste S.A.B. de C.V.,ASR,Mexico,2777,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services
Allete Inc.,ALE,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Thompson Creek Metals Co. Inc.,TC,United States,1775,Basic Materials,Basic Resources,Mining,General Mining
Intrepid Potash Inc.,IPI,United States,1755,Basic Materials,Basic Resources,Industrial Metals & Mining,Nonferrous Metals
Atlantic Power Corp.,AT,Canada,,,,,,,,
Barnes Group Inc.,B,United States,2797,Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers
Black Hills Corp.,BKH,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Buckeye Technologies Inc.,BKI,United States,1737,Basic Materials,Basic Resources,Forestry & Paper,Paper
Hornbeck Offshore Services Inc.,HOS,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Par Pharmaceutical Cos. Inc.,PRX,United States,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
Platinum Underwriters Holdings Ltd.,PTP,United States,8538,Financials,Insurance,Nonlife Insurance,Reinsurance
Sovran Self Storage Inc.,SSS,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
Chemed Corp.,CHE,United States,5377,Consumer Services,Retail,General Retailers,Specialized Consumer Services
EastGroup Properties Inc.,EGP,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Greenhill & Co. Inc.,GHL,United States,8777,Financials,Financial Services,Financial Services,Investment Services
Knight Capital Group Inc. Cl A,KCG,United States,8777,Financials,Financial Services,Financial Services,Investment Services
Saks Inc.,SKS,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Silvercorp Metals Inc.,SVM,Canada,,,,,,,,
CubeSmart,CUBE,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
Deluxe Corp.,DLX,United States,2795,Industrials,Industrial Goods & Services,Support Services,Financial Administration
Medical Properties Trust Inc.,MPW,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
TERNIUM S.A.,TX,Mexico,1757,Basic Materials,Basic Resources,Industrial Metals & Mining,Iron & Steel
Gafisa S/A,GFA,United States,3728,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Home Construction
PolyOne Corp.,POL,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
Northwest Natural Gas Co.,NWN,United States,7573,Utilities,Utilities,Gas, Water & Multiutilities,Gas Distribution
Kemper Corp.,KMPR,United States,8532,Financials,Insurance,Nonlife Insurance,Full Line Insurance
WMS Industries Inc.,WMS,United States,5752,Consumer Services,Travel & Leisure,Travel & Leisure,Gambling
Ann Inc.,ANN,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
NorthWestern Corp.,NWE,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Grupo Aeroportuario del Pacifico S.A.B. de C.V.,PAC,Mexico,2777,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services
RLI Corp.,RLI,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Titanium Metals Corp.,TIE,United States,1755,Basic Materials,Basic Resources,Industrial Metals & Mining,Nonferrous Metals
Greif Inc. Cl A,GEF,United States,2723,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging
Gaylord Entertainment Co.,GET,United States,5753,Consumer Services,Travel & Leisure,Travel & Leisure,Hotels
Meredith Corp.,MDP,United States,5557,Consumer Services,Media,Media,Publishing
Simpson Manufacturing Co.,SSD,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Choice Hotels International Inc.,CHH,United States,5753,Consumer Services,Travel & Leisure,Travel & Leisure,Hotels
Kaydon Corp.,KDN,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Primerica Inc.,PRI,United States,8575,Financials,Insurance,Life Insurance,Life Insurance
AerCap Holdings N.V.,AER,Netherlands,2777,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services
Bill Barrett Corp.,BBG,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Lexington Realty Trust,LXP,United States,8674,Financials,Real Estate,Real Estate Investment Trusts,Diversified Real Estate Investment Trusts
Mine Safety Appliances Co.,MSA,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
PS Business Parks Inc.,PSB,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
AutoNation Inc.,AN,United States,5379,Consumer Services,Retail,General Retailers,Specialty Retailers
Teekay Corp.,TK,United States,2773,Industrials,Industrial Goods & Services,Industrial Transportation,Marine Transportation
Vitamin Shoppe Inc.,VSI,United States,5337,Consumer Services,Retail,Food & Drug Retailers,Food Retailers & Wholesalers
FleetCor Technologies Inc.,FLT,United States,2795,Industrials,Industrial Goods & Services,Support Services,Financial Administration
Buckle Inc.,BKE,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Equity One Inc.,EQY,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
Valassis Communications Inc.,VCI,United States,5555,Consumer Services,Media,Media,Media Agencies
Watts Water Technologies Inc. Cl A,WTS,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Group 1 Automotive Inc.,GPI,United States,5379,Consumer Services,Retail,General Retailers,Specialty Retailers
Empresas ICA S.A.B. de C.V.,ICA,Mexico,2357,Industrials,Construction & Materials,Construction & Materials,Heavy Construction
Minerals Technologies Inc.,MTX,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
Old National Bancorp,ONB,United States,8355,Financials,Banks,Banks,Banks
Brink's Co.,BCO,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
RLJ Lodging Trust,RLJ,United States,8677,Financials,Real Estate,Real Estate Investment Trusts,Hotel & Lodging Real Estate Investment Trusts
CNH Global N.V.,CNH,Netherlands,2753,Industrials,Industrial Goods & Services,Industrial Engineering,Commerical Vehicles & Trucks
Mercury General Corp.,MCY,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
MasTec Inc.,MTZ,United States,2357,Industrials,Construction & Materials,Construction & Materials,Heavy Construction
Tyler Technologies Inc.,TYL,United States,9533,Technology,Technology,Software & Computer Services,Computer Services
Capstead Mortgage Corp.,CMO,United States,8676,Financials,Real Estate,Real Estate Investment Trusts,Mortgage Real Estate Investment Trusts
US Airways Group Inc.,LCC,United States,5751,Consumer Services,Travel & Leisure,Travel & Leisure,Airlines
Schweitzer-Mauduit International Inc.,SWM,United States,3785,Consumer Goods,Personal & Household Goods,Tobacco,Tobacco
AbitibiBowater Inc.,ABH,Canada,,,,,,,,
Westlake Chemical Corp.,WLK,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Montpelier Re Holdings Ltd.,MRH,United States,8538,Financials,Insurance,Nonlife Insurance,Reinsurance
National Health Investors Inc.,NHI,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
Cloud Peak Energy Inc.,CLD,United States,1771,Basic Materials,Basic Resources,Mining,Coal
Pebblebrook Hotel Trust,PEB,United States,8677,Financials,Real Estate,Real Estate Investment Trusts,Hotel & Lodging Real Estate Investment Trusts
Universal Corp.,UVV,United States,3785,Consumer Goods,Personal & Household Goods,Tobacco,Tobacco
Geo Group Inc.,GEO,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
EXCO Resources Inc.,XCO,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Georgia Gulf Corp.,GGC,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
B&G Foods Inc.,BGS,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
Bankrate Inc.,RATE,United States,5557,Consumer Services,Media,Media,Publishing
McEwen Mining Inc.,MUX,United States,1777,Basic Materials,Basic Resources,Mining,Gold Mining
Alexander's Inc.,ALX,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
Glimcher Realty Trust,GRT,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
Regal Entertainment Group Cl A,RGC,United States,5755,Consumer Services,Travel & Leisure,Travel & Leisure,Recreational Services
Sunstone Hotel Investors Inc.,SHO,United States,8677,Financials,Real Estate,Real Estate Investment Trusts,Hotel & Lodging Real Estate Investment Trusts
Penske Automotive Group Inc.,PAG,United States,5379,Consumer Services,Retail,General Retailers,Specialty Retailers
Armstrong World Industries Inc.,AWI,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Collective Brands Inc.,PSS,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Titan International Inc.,TWI,United States,3357,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Tires
Harry Winston Diamond Corp.,HWD,Canada,1773,Basic Materials,Basic Resources,Mining,Diamonds & Gemstones
ABM Industries Inc.,ABM,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
Heartland Payment Systems Inc.,HPY,United States,2795,Industrials,Industrial Goods & Services,Support Services,Financial Administration
Louisiana-Pacific Corp.,LPX,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Molina Healthcare Inc.,MOH,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Regis Corp.,RGS,United States,5377,Consumer Services,Retail,General Retailers,Specialized Consumer Services
Community Bank System Inc.,CBU,United States,8355,Financials,Banks,Banks,Banks
CH Energy Group Inc. (Holding Co.),CHG,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Granite Construction Inc.,GVA,United States,2357,Industrials,Construction & Materials,Construction & Materials,Heavy Construction
3D Systems Corp.,DDD,United States,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
Pretium Resources Inc.,PVG,Canada,,,,,,,,
Benchmark Electronics Inc.,BHE,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
SunCoke Energy Inc.,SXC,United States,1771,Basic Materials,Basic Resources,Mining,Coal
Western Refining Inc.,WNR,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
SYNNEX Corp.,SNX,United States,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
Accretive Health Inc.,AH,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Semgroup Corp. Cl A,SEMG,United States,0577,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Pipelines
Cooper Tire & Rubber Co.,CTB,United States,3357,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Tires
Knight Transportation Inc.,KNX,United States,2779,Industrials,Industrial Goods & Services,Industrial Transportation,Trucking
Lions Gate Entertainment Corp.,LGF,Canada,5553,Consumer Services,Media,Media,Broadcasting & Entertainment
Boise Inc.,BZ,United States,1737,Basic Materials,Basic Resources,Forestry & Paper,Paper
W&T Offshore Inc.,WTI,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
ESCO Technologies Inc.,ESE,United States,2737,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment
Fresh Del Monte Produce Inc.,FDP,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
First Industrial Realty Trust Inc.,FR,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
HNI Corp.,HNI,United States,3726,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Furnishings
Liz Claiborne Inc.,LIZ,United States,,,,,,,,
OM Group Inc.,OMG,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Semiconductor Manufacturing International Corp.,SMI,China,9576,Technology,Technology,Technology Hardware & Equipment,Semiconductors
MEMC Electronic Materials Inc.,WFR,United States,9576,Technology,Technology,Technology Hardware & Equipment,Semiconductors
Arbitron Inc.,ARB,United States,5555,Consumer Services,Media,Media,Media Agencies
Heico Corp. Cl A,HEI/A,United States,2713,Industrials,Industrial Goods & Services,Aerospace & Defense,Aerospace
Orient Express Hotels Ltd.,OEH,United States,5753,Consumer Services,Travel & Leisure,Travel & Leisure,Hotels
Magnum Hunter Resources Corp.,MHR,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Strategic Hotels & Resorts Inc.,BEE,United States,8677,Financials,Real Estate,Real Estate Investment Trusts,Hotel & Lodging Real Estate Investment Trusts
Seaspan Corp.,SSW,Canada,2773,Industrials,Industrial Goods & Services,Industrial Transportation,Marine Transportation
Sun Communities Inc.,SUI,United States,8673,Financials,Real Estate,Real Estate Investment Trusts,Residential Real Estate Investment Trusts
Swift Transportation Co. Cl A,SWFT,United States,2779,Industrials,Industrial Goods & Services,Industrial Transportation,Trucking
Worthington Industries Inc.,WOR,United States,1757,Basic Materials,Basic Resources,Industrial Metals & Mining,Iron & Steel
Embotelladora Andina S.A. (Series B),AKO/B,Chile,3537,Consumer Goods,Food & Beverage,Beverages,Soft Drinks
BancorpSouth Inc.,BXS,United States,8355,Financials,Banks,Banks,Banks
Education Realty Trust Inc.,EDR,United States,8673,Financials,Real Estate,Real Estate Investment Trusts,Residential Real Estate Investment Trusts
LTC Properties Inc.,LTC,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
Rite Aid Corp.,RAD,United States,5333,Consumer Services,Retail,Food & Drug Retailers,Drug Retailers
Companhia Energetica de Minas Gerais-Cemig,CIG/C,Brazil,7537,Utilities,Utilities,Electricity,Alternative Electricity
Endeavour Silver Corp.,EXK,Canada,1779,Basic Materials,Basic Resources,Mining,Platinum & Precious Metals
Vina Concha y Toro S.A.,VCO,Chile,3535,Consumer Goods,Food & Beverage,Beverages,Distillers & Vintners
AAR Corp.,AIR,United States,2713,Industrials,Industrial Goods & Services,Aerospace & Defense,Aerospace
Acadia Realty Trust,AKR,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
Kaman Corp.,KAMN,United States,2797,Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers
New York Times Co. Cl A,NYT,United States,5557,Consumer Services,Media,Media,Publishing
WuXi Pharmatech (Cayman) Inc.,WX,China,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kraton Performance Polymers Inc.,KRA,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
BankUnited Inc.,BKU,United States,8355,Financials,Banks,Banks,Banks
Exterran Holdings Inc.,EXH,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
UniFirst Corp.,UNF,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
Emulex Corp.,ELX,United States,9578,Technology,Technology,Technology Hardware & Equipment,Telecommunications Equipment
ION Geophysical Corp.,IO,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
SINOPEC Shanghai Petrochemical Co. Ltd.,SHI,China,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
TAL International Group Inc.,TAL,United States,2777,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services
USG Corp.,USG,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
China Southern Airlines Co. Ltd.,ZNH,China,5751,Consumer Services,Travel & Leisure,Travel & Leisure,Airlines
