NAME,TICKER,COUNTRY,ICB,INDUS,SUP SEC,SEC,SUB SEC
Canadian Natural Resources Ltd.,CNQ,Canada,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Medtronic Inc.,MDT,United States,4535,Health Care,Health Care,Health Care Equipment & Services,Medical Equipment
Nike Inc. Cl B,NKE,United States,3765,Consumer Goods,Personal & Household Goods,Personal Goods,Footwear
Simon Property Group Inc.,SPG,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
Potash Corp. of Saskatchewan Inc.,POT,Canada,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Dow Chemical Co.,DOW,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
Mizuho Financial Group Inc.,MFG,Japan,8355,Financials,Banks,Banks,Banks
Goldcorp Inc.,GG,Canada,1777,Basic Materials,Basic Resources,Mining,Gold Mining
Eli Lilly & Co.,LLY,United States,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
Accenture PLC Cl A,ACN,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
Southern Co.,SO,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
National Grid PLC,NGG,United Kingdom,7575,Utilities,Utilities,Gas, Water & Multiutilities,Multiutilities
Emerson Electric Co.,EMR,United States,2737,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment
Time Warner Inc.,TWX,United States,5553,Consumer Services,Media,Media,Broadcasting & Entertainment
Bank of Montreal,BMO,Canada,8355,Financials,Banks,Banks,Banks
National Oilwell Varco Inc.,NOV,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Halliburton Co.,HAL,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Deere & Co.,DE,United States,2753,Industrials,Industrial Goods & Services,Industrial Engineering,Commerical Vehicles & Trucks
ING Groep N.V.,ING,Netherlands,8575,Financials,Insurance,Life Insurance,Life Insurance
Lowe's Cos.,LOW,United States,5375,Consumer Services,Retail,General Retailers,Home Improvement Retailers
